CustomerID;TotalQuantity;TotalRevenue;OrderCount;CategoryCount;AvgCheck;RecencyDays
28054;2;25.48;1;1;25.48;1
22885;2;548.98;1;2;548.98;1
25384;2;1249.84;1;2;1249.84;1
28846;2;4320.62;2;1;2160.31;1
23571;2;3563.84;2;1;1781.92;1
14930;2;2721.5525;2;1;1360.78;1
13788;2;33.98;2;1;16.99;1
12341;2;4344.0882;3;3;1448.03;1
29829;2;1714.390875;4;2;428.6;1
29502;2;308.304;4;2;77.08;1
15357;3;4862.41;3;2;1620.8;1
11458;3;23.97;3;2;7.99;1
14131;3;3807.3996;2;2;1903.7;1
12465;3;33.43;2;2;16.72;1
25065;3;71.58;1;1;71.58;1
19929;3;63.97;1;1;63.97;1
19252;3;94.97;1;1;94.97;1
21220;3;74.98;1;1;74.98;1
26688;3;64.97;1;1;64.97;1
12433;3;74.98;1;1;74.98;1
25005;3;64.97;1;1;64.97;1
20731;3;42.97;1;1;42.97;1
20949;3;154.98;1;1;154.98;1
20594;3;42.93;1;1;42.93;1
21307;3;23.97;1;2;23.97;1
12838;3;36.96;1;1;36.96;1
12896;4;44.91;1;1;44.91;1
25382;4;1283.82;1;2;1283.82;1
24944;4;125.57;1;2;125.57;1
28543;4;108.46;1;2;108.46;1
14061;4;82.26;2;2;41.13;1
17642;4;27.96;2;2;13.98;1
18637;4;91.95;2;1;45.98;1
12640;4;4359.0682;3;3;1453.02;1
29650;4;1414.038;4;2;353.51;1
29602;5;3179.5272;4;2;794.88;1
15626;5;4604.1025;3;3;1534.7;1
20062;5;1997.45;2;3;998.72;1
19604;5;147.95;2;2;73.98;1
29844;860;334261.8147;12;4;27855.15;1
29824;158;88295.5687;9;4;9810.62;1
29489;601;248427.2753;12;4;20702.27;1
29761;284;53194.02394;12;4;4432.84;1
29827;939;583438.7753;12;4;48619.9;1
29825;948;354115.0175;12;4;29509.58;1
30039;220;35216.76428;8;4;4402.1;1
29744;1444;303449.9674;8;4;37931.25;1
29811;306;149193.3396;12;4;12432.78;1
29647;966;297258.1481;8;4;37157.27;1
30048;1812;468300.0188;8;4;58537.5;1
29587;1312;295167.2959;8;4;36895.91;1
29704;1239;275323.3534;8;4;34415.42;1
29805;267;36743.91194;8;4;4592.99;1
29693;659;171088.0962;4;4;42772.02;1
29670;29;12156.15518;4;4;3039.04;1
29641;829;324308.7856;4;4;81077.2;1
29658;854;231509.4072;8;4;28938.68;1
29867;36;6116.8085;7;4;873.83;1
11287;15;234.49;27;2;8.68;1
30096;239;127866.0667;9;3;14207.34;1
29850;7;4411.38;4;2;1102.84;1
30114;44;10902.6431;8;4;1362.83;1
29776;108;48335.68523;4;4;12083.92;1
29599;12;5543.4078;6;4;923.9;1
29970;16;10899.39008;4;2;2724.85;1
29595;111;53815.51928;4;3;13453.88;1
29679;11;4768.968;7;4;681.28;1
30065;501;218536.7956;8;3;27317.1;1
29604;19;2639.061;8;3;329.88;1
30116;184;95794.62105;4;2;23948.66;1
29747;19;16091.5335;9;2;1787.95;1
29820;100;56778.44633;4;2;14194.61;1
30051;128;86803.30657;4;2;21700.83;1
29871;10;9087.234075;4;2;2271.81;1
29648;33;2361.823275;4;4;590.46;1
30109;1316;291442.3502;8;4;36430.29;1
11566;15;349.76;25;2;13.99;1
29783;1247;266502.8721;8;4;33312.86;1
29605;466;202272.5635;8;3;25284.07;1
29614;1776;707858.2085;12;4;58988.18;1
29894;120;60319.95;4;4;15079.99;1
29533;231;64374.41825;12;4;5364.53;1
29682;57;11741.6078;8;4;1467.7;1
29994;1228;634357.2502;12;4;52863.1;1
29734;1083;350641.8541;12;4;29220.15;1
29772;806;478311.9434;8;4;59788.99;1
29795;992;112874.391;8;4;14109.3;1
29580;1240;601069.3741;12;4;50089.11;1
30070;223;95560.46265;4;4;23890.12;1
29778;85;36323.1855;8;4;4540.4;1
29689;1170;436710.9928;8;4;54588.87;1
29672;10;2651.4049;6;3;441.9;1
29879;97;23555.21886;8;4;2944.4;1
29745;10;2812.8422;8;3;351.61;1
29656;38;21039.3699;4;2;5259.84;1
29606;29;13540.4644;10;3;1354.05;1
29570;224;45756.07597;12;4;3813.01;1
11484;6;4985.3796;3;2;1661.79;1
29631;16;9300.37095;4;2;2325.09;1
29826;14;4357.239;7;3;622.46;1
29634;35;14828.1099;4;4;3707.03;1
29671;56;20386.36598;4;4;5096.59;1
29694;6;3062.0868;4;2;765.52;1
29837;31;10173.5464;8;3;1271.69;1
29920;23;2791.17;8;4;348.9;1
29646;1202;649392.2414;12;4;54116.02;1
30000;933;381969.9825;8;3;47746.25;1
29992;1636;380203.1401;12;4;31683.6;1
29565;10;2229.3475;8;3;278.67;1
29874;99;15217.36868;4;4;3804.34;1
30075;845;193309.0176;8;4;24163.63;1
29497;1129;552093.8558;12;4;46007.82;1
29520;139;27871.47131;8;4;3483.93;1
29909;793;197798.0832;8;4;24724.76;1
29692;1242;267064.2191;8;4;33383.03;1
29875;17;4263.6211;6;4;710.6;1
30067;564;347206.8761;12;3;28933.91;1
29683;126;35591.99379;8;4;4449;1
29941;622;96811.31086;4;4;24202.83;1
29591;73;8410.746825;4;4;2102.69;1
29654;147;37968.99129;8;4;4746.12;1
29737;135;80424.60428;4;2;20106.15;1
29500;154;78338.439;7;3;11191.21;1
29623;29;10055.274;3;2;3351.76;1
30018;82;2541.268717;8;3;317.66;1
29987;291;182972.5195;4;3;45743.13;1
29981;249;65367.77976;8;4;8170.97;1
29589;510;110413.7135;4;4;27603.43;1
29958;106;153539.2286;9;4;17059.91;1
30084;13;7292.4758;8;2;911.56;1
25516;1;21.49;1;1;21.49;2
11392;1;28.99;1;1;28.99;2
17104;1;4.99;1;1;4.99;2
21845;1;4.99;1;1;4.99;2
12249;1;49.99;2;2;25;2
18712;1;21.98;2;1;10.99;2
16306;1;21.98;2;1;10.99;2
17325;1;8.99;2;2;4.5;2
15871;2;39.98;1;1;39.98;2
18574;2;39.98;1;1;39.98;2
25702;2;2419.06;1;2;2419.06;2
19881;2;78.98;1;1;78.98;2
12951;2;30.97;1;2;30.97;2
21791;2;574.98;1;2;574.98;2
20766;2;14.98;1;1;14.98;2
19716;2;1155.48;1;2;1155.48;2
23591;2;7.28;1;1;7.28;2
20520;2;14.98;1;1;14.98;2
12309;2;23.78;2;2;11.89;2
15701;2;7.28;2;1;3.64;2
19870;2;39.98;2;1;19.99;2
14925;2;2721.5525;2;1;1360.78;2
11177;2;6.28;2;2;3.14;2
11362;2;27.28;2;2;13.64;2
20821;2;4118.26;2;1;2059.13;2
12363;3;49.97;4;2;12.49;2
11896;3;5716.96;3;2;1905.65;2
14157;3;4355.61;3;2;1451.87;2
12185;3;42.28;2;1;21.14;2
17238;3;147.48;2;2;73.74;2
15236;3;37.97;2;2;18.98;2
18491;3;6056.61;2;2;3028.3;2
18703;3;5314.25;2;2;2657.12;2
20596;3;32.27;1;1;32.27;2
28991;3;63.97;1;1;63.97;2
28928;3;2473.05;1;3;2473.05;2
23879;3;64.47;1;2;64.47;2
27924;3;2525.94;1;3;2525.94;2
17721;3;69.97;1;1;69.97;2
20324;4;2543.44;1;3;2543.44;2
20513;4;74.46;1;2;74.46;2
21653;4;588.96;1;2;588.96;2
18909;4;6035.6;2;2;3017.8;2
11890;4;70.96;2;2;35.48;2
12193;4;2394.97;2;3;1197.48;2
17387;5;94.24;3;2;31.41;2
15816;5;118.05;3;2;39.35;2
15830;5;2680.3796;2;3;1340.19;2
16743;5;6070.59;2;2;3035.3;2
11153;5;109.77;2;2;54.88;2
16168;6;80.11;2;1;40.06;2
11253;7;187.94;16;2;11.75;2
11215;12;432.39;17;2;25.43;2
16474;1;24.99;1;1;24.99;3
24423;1;32.6;1;1;32.6;3
29241;1;24.99;1;1;24.99;3
19896;1;69.99;1;1;69.99;3
22324;1;24.99;1;1;24.99;3
27654;1;21.49;1;1;21.49;3
18036;1;24.99;1;1;24.99;3
21114;1;4.99;1;1;4.99;3
11213;1;2.29;2;1;1.14;3
13170;1;120;2;2;60;3
18327;2;13.98;1;2;13.98;3
19515;2;6.28;1;1;6.28;3
16115;2;7.28;1;1;7.28;3
25953;2;59.98;1;1;59.98;3
24135;2;2419.06;1;2;2419.06;3
27479;2;23.78;1;1;23.78;3
20317;2;58.98;1;2;58.98;3
24742;2;36.59;1;1;36.59;3
23780;2;1750.98;1;2;1750.98;3
20014;2;78.98;1;1;78.98;3
18686;3;69.97;2;1;34.98;3
18721;3;5333.25;2;2;2666.62;3
20746;3;64.97;2;2;32.48;3
13183;3;195.97;2;2;97.98;3
13979;3;3282.83;2;2;1641.42;3
23417;3;3337.0425;2;2;1668.52;3
27903;3;38.88;1;1;38.88;3
24399;3;132.94;1;1;132.94;3
16340;4;608.96;1;2;608.96;3
12750;4;5888.24;3;3;1962.75;3
11892;4;5734.96;3;2;1911.65;3
16959;4;120.37;3;2;40.12;3
11548;5;5804.45;3;3;1934.82;3
11764;5;5744.95;3;2;1914.98;3
11498;6;151.9;16;2;9.49;3
11999;6;4708.3;3;3;1569.43;3
11433;9;9256.7582;6;3;1542.79;3
14531;7;190.54;2;2;95.27;3
28442;1;69.99;1;1;69.99;4
16458;1;24.99;1;1;24.99;4
13296;1;21.98;1;1;21.98;4
26449;1;4.99;1;1;4.99;4
11858;1;49.99;2;2;25;4
25579;2;39.98;1;1;39.98;4
18807;2;119.98;1;1;119.98;4
26664;2;123.98;1;1;123.98;4
14711;2;71.97;1;2;71.97;4
23230;2;1155.48;1;2;1155.48;4
17161;2;59.98;1;1;59.98;4
16455;2;28.98;1;1;28.98;4
11440;2;78.48;1;1;78.48;4
18321;2;12.94;1;1;12.94;4
13432;2;56.97;1;1;56.97;4
28005;2;7.28;1;1;7.28;4
27387;2;33.98;1;1;33.98;4
18923;2;804.48;1;2;804.48;4
19603;2;25.48;2;1;12.74;4
19567;2;75.97;2;2;37.98;4
18078;2;71.97;2;2;35.98;4
23526;2;3563.84;2;1;1781.92;4
13762;2;36.59;4;2;9.15;4
18755;3;86.96;2;1;43.48;4
13676;3;36.27;2;1;18.14;4
20339;3;2528.33;1;3;2528.33;4
18836;3;128.97;1;1;128.97;4
26972;3;83.97;1;2;83.97;4
24673;3;2428.05;1;3;2428.05;4
17083;3;51.96;1;1;51.96;4
15913;4;712.27;1;2;712.27;4
27850;4;72.96;1;2;72.96;4
22374;4;600.46;1;2;600.46;4
25223;4;102.96;1;2;102.96;4
11967;4;5733.96;3;3;1911.32;4
11549;4;5709.96;3;3;1903.32;4
11026;4;5799.46;3;3;1933.15;4
11505;5;105.05;16;2;6.57;4
22142;5;71.94;1;1;71.94;4
28111;5;865.31;1;3;865.31;4
11150;5;143.45;3;2;47.82;4
11898;5;5794.96;3;2;1931.65;4
11501;6;98.23;16;2;6.14;4
15827;7;1418.92;2;3;709.46;4
17027;7;145.42;3;2;48.47;4
13137;1;3.99;3;2;1.33;5
14865;1;29.99;1;1;29.99;5
28462;1;69.99;1;1;69.99;5
15107;1;69.99;1;1;69.99;5
20512;1;9.99;1;1;9.99;5
21989;1;35;1;1;35;5
15584;1;34.99;2;1;17.5;5
15731;1;24.99;2;1;12.5;5
18105;2;39.98;1;1;39.98;5
19671;2;1170.48;1;2;1170.48;5
22227;2;34.98;1;1;34.98;5
18063;2;54.98;1;2;54.98;5
16898;2;1750.98;1;2;1750.98;5
17740;2;38.98;1;2;38.98;5
22185;2;38.98;1;2;38.98;5
18169;2;7.28;1;1;7.28;5
24670;2;2419.06;1;2;2419.06;5
25314;2;7.28;1;1;7.28;5
15156;2;124.99;1;1;124.99;5
27223;2;6.28;1;1;6.28;5
19275;2;13.98;1;2;13.98;5
23465;2;34.98;1;1;34.98;5
23220;2;1174.48;1;2;1174.48;5
20117;2;78.98;1;1;78.98;5
26179;2;38.98;1;1;38.98;5
25513;2;7.28;1;1;7.28;5
25281;2;1249.84;1;2;1249.84;5
24902;2;2120.9275;2;1;1060.46;5
13493;2;33.98;2;1;16.99;5
19501;2;1819.5882;2;1;909.79;5
16518;2;4698.76;2;1;2349.38;5
12944;2;39.99;4;2;10;5
11427;3;5754.97;4;3;1438.74;5
11964;3;5729.98;3;3;1909.99;5
15008;3;74.98;3;2;24.99;5
12776;3;48.97;2;1;24.48;5
15615;3;42.28;2;2;21.14;5
18490;3;6029.57;2;2;3014.78;5
15792;3;2645.3996;2;2;1322.7;5
16557;3;31.27;1;1;31.27;5
25538;3;1228.83;1;2;1228.83;5
23380;3;69.97;1;1;69.97;5
27153;3;42.97;1;2;42.97;5
22336;4;600.46;1;2;600.46;5
21298;4;93.46;1;2;93.46;5
28952;4;2473.04;1;2;2473.04;5
12155;4;5930.23;2;2;2965.12;5
13990;4;1893.9075;2;2;946.95;5
22953;4;3899.4925;2;2;1949.75;5
12370;4;34.56;3;1;11.52;5
11808;4;186.77;5;2;37.35;5
11203;4;183.97;17;2;10.82;5
12984;5;107.26;4;2;26.82;5
11905;5;5742.92;3;2;1914.31;5
11904;5;5795.44;3;3;1931.81;5
18725;5;6044.59;2;3;3022.3;5
15353;5;130.56;2;2;65.28;5
15426;6;106.93;2;2;53.46;5
15632;6;4467.72;3;3;1489.24;5
11711;8;86.48;27;2;3.2;5
11223;10;267.62;27;2;9.91;5
20942;1;3.99;1;1;3.99;6
27758;1;69.99;1;1;69.99;6
21358;1;9.99;1;1;9.99;6
28057;1;21.49;1;1;21.49;6
13031;1;21.98;1;1;21.98;6
24120;1;3.99;1;1;3.99;6
14886;1;539.99;1;1;539.99;6
18423;1;4.99;1;1;4.99;6
21851;1;4.99;1;1;4.99;6
15234;1;34.99;2;1;17.5;6
17230;1;53.99;2;2;27;6
11305;1;2.29;2;1;1.14;6
11209;1;2.29;2;1;1.14;6
18349;2;39.98;1;1;39.98;6
24256;2;39.98;1;1;39.98;6
28940;2;2393.06;1;2;2393.06;6
12844;2;56.97;1;1;56.97;6
25731;2;548.98;1;2;548.98;6
25746;2;561.48;1;2;561.48;6
23023;2;32.28;1;1;32.28;6
22388;2;68.49;1;2;68.49;6
21223;2;56.98;1;1;56.98;6
22866;2;6.28;1;1;6.28;6
16292;2;32.28;1;1;32.28;6
25813;2;26.97;1;1;26.97;6
23555;2;34.98;1;1;34.98;6
28475;2;123.98;1;1;123.98;6
11960;2;39.99;2;1;20;6
16449;2;39.98;2;1;19.99;6
16393;3;3446.4025;3;3;1148.8;6
11909;3;5672.27;3;2;1890.76;6
14525;3;4355.61;3;2;1451.87;6
26767;3;1331.97;2;2;665.98;6
18695;3;6029.57;2;2;3014.78;6
19973;3;22.97;2;2;11.48;6
24888;3;2174.9175;2;2;1087.46;6
23787;3;71.58;1;1;71.58;6
20679;3;64.47;1;2;64.47;6
19064;3;32.27;1;1;32.27;6
22767;3;69.97;1;1;69.97;6
24210;3;1729.97;1;2;1729.97;6
27757;3;132.97;1;1;132.97;6
16140;3;2528.33;1;3;2528.33;6
25261;3;71.58;1;1;71.58;6
19013;4;636.45;1;3;636.45;6
19024;4;699.97;1;2;699.97;6
12439;4;124.97;1;2;124.97;6
12082;4;5913.24;2;2;2956.62;6
12162;4;5913.24;2;2;2956.62;6
12678;4;89.46;3;2;29.82;6
11539;6;5997.73;2;3;2998.86;6
17741;6;4217.3;2;3;2108.65;6
18681;1;69.99;1;1;69.99;7
20948;1;3.99;1;1;3.99;7
16920;1;1700.99;1;1;1700.99;7
16558;1;24.99;1;1;24.99;7
18522;1;69.99;1;1;69.99;7
19516;1;3.99;1;1;3.99;7
22814;1;4.99;1;1;4.99;7
19933;1;4.99;1;1;4.99;7
18932;1;2.29;2;1;1.14;7
11836;1;34.99;2;1;17.5;7
27966;2;39.98;1;1;39.98;7
29286;2;13.98;1;2;13.98;7
23086;2;12.94;1;1;12.94;7
16319;2;27.28;1;1;27.28;7
26163;2;123.98;1;1;123.98;7
21764;2;7.28;1;1;7.28;7
24779;2;2419.06;1;2;2419.06;7
13868;2;30.97;1;2;30.97;7
16194;2;49.48;1;2;49.48;7
22741;2;34.98;1;1;34.98;7
20302;2;2451.3;1;2;2451.3;7
21210;2;39.99;1;1;39.99;7
29127;2;28.98;1;1;28.98;7
23525;2;3302.0525;2;1;1651.03;7
11537;2;5873.26;2;1;2936.63;7
14702;3;4355.61;3;3;1451.87;7
11322;3;42.28;2;1;21.14;7
23415;3;3588.83;2;2;1794.42;7
18811;3;100.96;2;2;50.48;7
22961;3;3891.5425;2;2;1945.77;7
23137;3;5314.25;2;2;2657.12;7
25647;3;563.77;1;2;563.77;7
28979;3;37.97;1;2;37.97;7
15709;3;94.98;1;1;94.98;7
23804;3;71.58;1;1;71.58;7
27530;4;47.96;1;1;47.96;7
20303;4;2512.32;1;2;2512.32;7
21655;4;2648.0682;2;2;1324.03;7
23765;5;2535.81;1;3;2535.81;7
13256;5;2691.8796;4;2;672.97;7
11598;5;4548.6996;2;2;2274.35;7
18709;6;6098.54;2;2;3049.27;7
12317;9;6823.4196;3;3;2274.47;7
11244;7;6566.3;4;3;1641.58;7
15760;1;3.99;4;2;1;8
12512;1;8.99;1;1;8.99;8
27929;1;3.99;1;1;3.99;8
15352;1;69.99;1;1;69.99;8
26130;1;21.49;1;1;21.49;8
22772;1;4.99;1;1;4.99;8
12235;1;34.99;2;1;17.5;8
11783;1;34.99;2;1;17.5;8
11959;1;34.99;2;2;17.5;8
20691;2;39.98;1;1;39.98;8
12832;2;39.98;1;1;39.98;8
28668;2;78.98;1;1;78.98;8
18984;2;94.48;1;1;94.48;8
27961;2;29.48;1;2;29.48;8
17138;2;59.98;1;1;59.98;8
25267;2;25.48;1;1;25.48;8
22963;2;58.98;1;2;58.98;8
17663;2;7.28;1;1;7.28;8
19680;2;1170.48;1;2;1170.48;8
18151;2;76.97;1;1;76.97;8
23077;2;7.28;1;1;7.28;8
19684;2;78.98;1;1;78.98;8
21633;2;64.98;1;1;64.98;8
22974;2;7.28;1;1;7.28;8
15794;2;88.98;2;2;44.49;8
16200;2;39.98;2;1;19.99;8
11014;2;38.98;2;2;19.49;8
11969;2;5719.98;3;2;1906.66;8
11074;3;49.97;3;1;16.66;8
12992;3;36.27;3;2;12.09;8
11576;3;4486.4096;2;2;2243.2;8
19500;3;3478.7775;2;2;1739.39;8
23281;3;4828.11;2;2;2414.06;8
11582;3;4379.0782;2;2;2189.54;8
13906;3;3021.0425;2;2;1510.52;8
13495;3;42.97;2;2;21.48;8
17709;3;48.97;2;2;24.48;8
22954;3;4179.33;2;2;2089.66;8
20413;3;49.97;1;1;49.97;8
27828;3;27.77;1;1;27.77;8
28985;3;53.47;1;2;53.47;8
28953;3;2462.55;1;2;2462.55;8
25721;3;583.97;1;3;583.97;8
19606;4;83.97;1;2;83.97;8
13986;4;1893.9075;2;2;946.95;8
28844;4;4337.56;2;2;2168.78;8
11073;4;103.96;3;2;34.65;8
11100;4;5774.46;3;3;1924.82;8
22951;5;4242.31;2;3;2121.16;8
15763;5;1387.95;2;2;693.98;8
11200;14;391.08;27;2;14.48;8
12635;1;49.99;1;1;49.99;9
24941;1;32.6;1;1;32.6;9
26981;1;21.49;1;1;21.49;9
15034;1;8.99;2;2;4.5;9
17323;1;8.99;2;2;4.5;9
18097;2;39.98;1;1;39.98;9
17158;2;39.98;1;1;39.98;9
15910;2;39.98;1;1;39.98;9
21849;2;39.98;1;1;39.98;9
18752;2;119.98;1;1;119.98;9
27526;2;23.78;1;1;23.78;9
26897;2;38.98;1;1;38.98;9
13166;2;71.97;1;2;71.97;9
28330;2;10.24;1;1;10.24;9
28623;2;27.28;1;1;27.28;9
17519;2;58.98;1;2;58.98;9
27727;2;6.28;1;1;6.28;9
26987;2;1155.48;1;2;1155.48;9
18064;2;58.98;1;2;58.98;9
13430;2;30.97;1;2;30.97;9
15154;2;84.98;2;2;42.49;9
16517;2;4698.76;2;1;2349.38;9
12174;2;5873.26;2;1;2936.63;9
13222;2;13.98;3;2;4.66;9
12760;3;36.27;4;2;9.07;9
12128;3;4489.0882;4;3;1122.27;9
15931;3;3018.33;3;3;1006.11;9
11914;3;5704.97;3;2;1901.66;9
11895;3;5729.98;3;2;1909.99;9
12144;3;42.28;2;1;21.14;9
13603;3;83.97;2;2;41.98;9
12116;3;5933.25;2;2;2966.62;9
26757;3;1344.47;2;2;672.24;9
24411;3;71.58;1;1;71.58;9
23272;3;39.47;1;2;39.47;9
22368;3;615.47;1;3;615.47;9
22145;3;37.27;1;1;37.27;9
19078;3;32.27;1;1;32.27;9
28921;3;184.48;1;1;184.48;9
29394;3;36.27;1;1;36.27;9
22473;4;607.96;1;3;607.96;9
19701;4;1184.46;1;2;1184.46;9
22479;4;600.46;1;2;600.46;9
22656;4;1169.46;1;2;1169.46;9
13262;4;77.96;2;2;38.98;9
13814;4;122.96;2;2;61.48;9
12372;4;89.46;3;2;29.82;9
12939;4;77.92;4;2;19.48;9
15080;5;5985.31;3;3;1995.1;9
11751;5;5830.95;3;3;1943.65;9
18738;5;6089.59;2;3;3044.8;9
29412;5;2671.8796;2;2;1335.94;9
18706;5;6060.5;2;2;3030.25;9
14953;5;202.46;2;2;101.23;9
12335;9;6912.5982;3;3;2304.2;9
11091;10;213.86;28;2;7.64;9
22883;1;29.99;1;1;29.99;10
20178;1;3.99;1;1;3.99;10
14443;1;21.98;1;1;21.98;10
17783;1;24.99;1;1;24.99;10
26517;1;24.99;1;1;24.99;10
13550;1;69.99;1;1;69.99;10
19678;1;1120.49;1;1;1120.49;10
24995;1;4.99;1;1;4.99;10
19182;2;39.98;1;1;39.98;10
16991;2;39.98;1;1;39.98;10
13610;2;44.98;1;1;44.98;10
26264;2;31.28;1;1;31.28;10
16750;2;7.28;1;1;7.28;10
23763;2;1735.98;1;2;1735.98;10
27607;2;7.28;1;1;7.28;10
23153;2;34.98;1;1;34.98;10
27753;2;25.48;1;1;25.48;10
23503;2;7.28;1;1;7.28;10
25198;2;1249.84;1;2;1249.84;10
17483;2;32.28;2;1;16.14;10
15148;2;59.48;2;2;29.74;10
16745;2;6021.62;2;1;3010.81;10
14123;2;28.98;2;1;14.49;10
16613;2;34.89;2;2;17.44;10
18314;2;56.97;3;1;18.99;10
11759;2;5669.98;3;1;1889.99;10
11465;2;5719.98;3;2;1906.66;10
12431;3;94.98;4;2;23.74;10
12754;3;5895.24;3;3;1965.08;10
14773;3;4600.6225;3;2;1533.54;10
25048;3;3046.84;2;2;1523.42;10
19496;3;1854.5782;2;2;927.29;10
15759;3;89.97;1;2;89.97;10
28806;3;63.97;1;1;63.97;10
24680;3;2418.05;1;2;2418.05;10
24424;4;249.58;1;2;249.58;10
22486;4;588.96;1;2;588.96;10
25655;4;571.72;1;2;571.72;10
20323;4;2492.32;1;2;2492.32;10
21940;4;571.72;1;2;571.72;10
11718;4;100.27;2;2;50.14;10
18736;4;6035.6;2;2;3017.8;10
17468;4;71.95;2;1;35.98;10
20423;4;4177.74;2;3;2088.87;10
11536;5;5915.54;2;2;2957.77;10
26768;5;1371.95;2;2;685.98;10
11540;5;5958.18;2;2;2979.09;10
18691;5;6070.59;2;2;3035.3;10
12103;6;5997.73;2;3;2998.86;10
23696;7;233.23;1;1;233.23;10
12328;8;6792.1082;3;2;2264.04;10
15452;1;24.99;1;1;24.99;11
25727;1;539.99;1;1;539.99;11
18190;1;8.99;2;2;4.5;11
15264;1;8.99;2;2;4.5;11
17306;1;34.99;2;2;17.5;11
15021;1;29.99;2;2;15;11
15281;2;39.98;1;1;39.98;11
17260;2;39.98;1;1;39.98;11
13832;2;24.27;1;1;24.27;11
19537;2;1155.48;1;2;1155.48;11
21240;2;119.98;1;1;119.98;11
14351;2;56.97;1;1;56.97;11
25686;2;6.28;1;1;6.28;11
24567;2;6.28;1;1;6.28;11
22527;2;75.48;1;2;75.48;11
27196;2;68.49;1;2;68.49;11
22945;2;12.94;1;1;12.94;11
27375;2;6.28;1;1;6.28;11
13266;2;29.93;1;1;29.93;11
28444;2;123.98;1;1;123.98;11
27055;2;33.98;1;1;33.98;11
14530;2;36.59;2;1;18.3;11
14553;2;78.98;2;2;39.49;11
16437;2;39.98;2;1;19.99;11
14723;2;14.98;3;1;4.99;11
12489;2;39.98;4;2;10;11
11869;3;37.27;5;2;7.45;11
16005;3;102.27;3;2;34.09;11
15943;3;154.98;3;2;51.66;11
16741;3;6056.61;2;2;3028.3;11
13927;3;3021.0425;2;2;1510.52;11
27509;3;60.47;1;1;60.47;11
12017;3;2339.97;1;2;2339.97;11
24589;3;68.97;1;2;68.97;11
